#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-03-19T11:32:39 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-03-19T11:32:39	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-order=I&-source=J/A+A/552/A64/table4&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35520064
#Name: J/A+A/552/A64
#Title: Gaia-RVS standards (Soubiran+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/a+a/552/a64	    IVOID of underlying data collection
#INFO	creator=Soubiran C.	    First author or institution
#INFO	cites=bibcode:2013A&A...552A..64S	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/552/A64	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35520064	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_552_A64_table4:
#Name: J/A+A/552/A64/table4
#Title: Mean radial velocities in SOPHIE scale
#Column	HIP	(I6)	HIP number (Cat. I/311)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (ICRS, Epoch=J1991.25)	[ucd=pos.eq.ra]
#Column	DEJ2000	(A11)	Declination (ICRS, Epoch=J1991.25)	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	Magnitude in Johnson V	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a10)	MK spectral type	[ucd=src.spType]
#Column	Cat	(a9)	Catalogue of origin (1)	[ucd=meta.ref;meta.table]
#Column	RV	(F8.3)	? Mean Radial Velocity in SOPHIE scale	[ucd=phys.veloc;pos.heliocentric]
#Column	eRV	(F7.4)	? Internal error of RV	[ucd=stat.error]
#Column	sRV	(F7.4)	? Standard deviation of RV	[ucd=stat.error]
#Column	VC	(A2)	Plot of velocity points (if 10 points or more)	[ucd=meta.ref.url]
#Column	N	(I3)	? Number of RV measurements	[ucd=meta.number]
#Column	e_RV	(F7.4)	? Uncertainty of RV	[ucd=stat.error]
#Column	Tbase	(I5)	? Time baseline of the N observations	[ucd=time.interval]
#Column	JDm	(I5)	? Mean Julian Day of observations (JD-2400000)	[ucd=time.epoch;stat.mean]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F10.6)	Right Ascension (J2000) from I/239/hip_main	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F10.6)	Declination (J2000) from I/239/hip_main	[ucd=pos.eq.dec;meta.main]
HIP;RAJ2000;DEJ2000;Vmag;B-V;SpType;Cat;RV;eRV;sRV;VC;N;e_RV;Tbase;JDm;Simbad;_RA;_DE
  8418;01 48 36.53;+22 24 06.2; 8.30; 0.725;G0        ;nor      ;  -6.949; 0.0081; 0.0516;VC;  2; 0.0365;  380;54941;Simbad;027.152111;+22.401798
  8476;01 49 16.11;+35 26 26.2; 8.14; 0.627;G0        ;nor      ;  30.492; 0.0087; 0.0233;VC;  6; 0.0095; 2488;55112;Simbad;027.317274;+35.440383
  8527;01 49 57.94;-35 32 23.9; 8.47; 0.592;G1V       ;nor      ;  40.250; 0.0163; 0.0243;VC;  4; 0.0122; 1103;55516;Simbad;027.491154;-35.540175
  8548;01 50 15.32;-06 42 15.1; 7.07; 0.569;F8        ;ni,nor   ;  10.408; 0.0072; 0.0255;VC;  5; 0.0114; 4085;53988;Simbad;027.564369;-06.704091
  8597;01 50 56.46;+06 00 25.0; 7.72; 1.084;K0        ;fa       ;  11.589; 0.0088; 0.0214;VC;  3; 0.0123;  708;55366;Simbad;027.735169;+06.006757
  8674;01 51 40.45;-16 19 00.4; 8.96; 0.693;G6IV/V    ;nor      ;  41.101; 0.0053; 0.0019;VC; 21; 0.0012;  728;54830;Simbad;027.918860;-16.317647
  8798;01 53 06.31;-01 19 33.9; 7.43; 0.635;G0        ;ni,nor   ; -16.438; 0.0044; 0.0140;VC; 43; 0.0021; 4160;54587;Simbad;028.275828;-01.326944
  8867;01 54 06.18;+66 10 35.5; 8.47; 1.010;G5        ;nor      ; -27.363; 0.0070; 0.0269;VC;  6; 0.0110; 2842;53453;Simbad;028.525482;+66.176196
  8926;01 54 55.75;+27 50 30.6; 7.63; 0.987;K1II-III  ;fa       ;   0.305; 0.0081; 0.0672;VC;  2; 0.0475;  728;54767;Simbad;028.732483;+27.841781
  8984;01 55 46.82;+51 41 17.6; 7.26; 1.093;K0        ;fa       ;   3.644; 0.0092; 0.0799;VC;  2; 0.0565;  388;54939;Simbad;028.945459;+51.688146
  9349;02 00 05.31;-13 32 45.8; 7.99; 0.660;G5V       ;nor      ;  19.598; 0.0086; 0.0077;VC;  6; 0.0035; 3768;53839;Simbad;030.022240;-13.546113
  9381;02 00 31.79;-40 43 48.7; 7.37; 0.653;G3V       ;nor      ; -26.507; 0.0079; 0.0145;VC;  4; 0.0072; 4534;53861;Simbad;030.133856;-40.731247
  9414;02 00 56.73;-78 52 12.6; 6.84; 0.576;F8/G0V    ;nor      ;  30.819; 0.0084; 0.0074;VC;  4; 0.0042; 4493;54145;Simbad;030.237918;-78.870308
  9517;02 02 24.93;+12 41 06.7; 6.87; 1.077;K0        ;fa       ;  27.714; 0.0097; 0.0403;VC;  2; 0.0285;  386;54938;Simbad;030.604122;+12.685093
  9629;02 03 45.71;-40 28 09.1; 8.69; 0.722;G8V       ;nor      ;  42.694; 0.0083; 0.0085;VC;  4; 0.0043; 3702;53582;Simbad;030.941672;-40.469094
  9672;02 04 24.54;-43 30 27.6; 7.81; 0.607;G0V       ;nor      ; -13.314; 0.0152; 0.0094;VC;  3; 0.0088; 1107;55391;Simbad;031.102413;-43.507695
  9683;02 04 34.36;+25 24 53.0; 7.43; 0.710;K0        ;ni       ; -47.231; 0.0170; 0.1265;VC;  3; 0.0731; 4849;52766;Simbad;031.142866;+25.414305
  9716;02 04 59.31;-15 40 40.8; 7.79; 0.832;K0V       ;nor      ;  11.152; 0.0088; 0.0190;VC;  6; 0.0078; 3715;53692;Simbad;031.247194;-15.678104
  9829;02 06 30.24;+24 20 03.7; 6.89; 0.662;G2V       ;ni,nor   ;  -4.565; 0.0173; 0.0382;VC; 17; 0.0093; 2488;52123;Simbad;031.626016;+24.333993
  9911;02 07 34.42;-00 36 59.7; 6.88; 0.624;G2V       ;ni,nor   ; -39.227; 0.0087; 0.0246;VC;  3; 0.0142;  761;55013;Simbad;031.892803;-00.617418
 10031;02 09 07.70;+71 33 09.3; 6.57; 0.551;F8        ;nor      ;   0.772; 0.0090; 0.0088;VC;  7; 0.0034; 2480;54855;Simbad;032.284430;+71.552006
 10118;02 10 07.92;+12 06 50.1; 8.52; 0.578;G0        ;nor      ;   4.024; 0.0088; 0.0280;VC;  6; 0.0115;  729;54981;Simbad;032.532980;+12.113849
 10287;02 12 29.68;+16 42 02.5; 8.18; 0.606;G0        ;nor      ;  25.304; 0.0083; 0.0806;VC;  2; 0.0570;  728;54767;Simbad;033.123611;+16.700582
 10339;02 13 13.29;+40 30 28.2; 7.35; 0.700;G0        ;ni,nor   ;   6.909; 0.0081; 0.0997;VC;  2; 0.0705; 1389;54757;Simbad;033.305565;+40.507588
 10449;02 14 39.72;-01 12 04.4; 9.08; 0.582;G1V       ;ni       ;  28.162; 0.0210; 0.0181;VC;  5; 0.0094; 1141;55218;Simbad;033.667911;-01.201424
 10505;02 15 24.12;+24 16 18.4; 6.80; 0.690;G8IV      ;ni,nor   ;  -2.179; 0.0047; 0.0160;VC; 74; 0.0019; 5017;53656;Simbad;033.851722;+24.271296
 10510;02 15 27.15;+27 21 27.4; 8.12; 0.705;G8V       ;nor      ;   1.294; 0.0095; 0.0297;VC;  7; 0.0112; 2600;54450;Simbad;033.863907;+27.357261
 10623;02 16 45.27;+83 33 41.5; 6.45; 0.951;K0        ;fa       ;   2.799; 0.0080; 0.0658;VC;  2; 0.0465;  730;54768;Simbad;034.189892;+83.561414
 10626;02 16 47.30;+43 46 24.4; 7.61; 0.642;G0        ;ni,nor   ;  30.583; 0.0096; 0.0325;VC;  2; 0.0230; 4302;53301;Simbad;034.197413;+43.772996
 10681;02 17 25.73;+65 15 43.7; 7.61; 0.574;F8        ;nor      ; -11.846; 0.0087; 0.0140;VC; 12; 0.0040; 4400;52052;Simbad;034.356971;+65.262101
 10798;02 18 58.65;-25 56 48.4; 6.33; 0.724;G8V       ;ni,nor   ;   7.459; 0.0073; 0.0081;VC;  4; 0.0040; 3767;53492;Simbad;034.743769;-25.945687
 10818;02 19 16.00;-00 46 47.1; 8.48; 0.740;G0        ;nor      ;  25.240; 0.0083; 0.0424;VC;  6; 0.0173; 4096;53484;Simbad;034.816819;-00.779839
 10834;02 19 25.07;-61 56 18.6; 7.73; 0.501;F6/F7V    ;nor      ; -30.825; 0.0340; 0.0332;VC;  3; 0.0197; 1108;55392;Simbad;034.855259;-61.938130
 10842;02 19 33.58;-67 41 51.8; 8.12; 0.678;G5V       ;nor      ;  61.233; 0.0091; 0.0089;VC;  4; 0.0046; 2997;53740;Simbad;034.890570;-67.698472
 10866;02 19 50.00;-63 32 41.3; 8.78; 0.524;F7V       ;nor      ;  24.395; 0.0207; 0.0045;VC;  3; 0.0119; 1108;55392;Simbad;034.958434;-63.544731
 10886;02 20 06.38;-00 27 32.1; 8.10; 0.757;G0        ;nor      ;  26.142; 0.0098; 0.0333;VC;  4; 0.0166; 1110;54955;Simbad;035.027014;-00.458712
 10940;02 20 53.98;-52 57 49.6; 7.77; 0.529;F8V       ;nor      ;  -1.504; 0.0188; 0.0177;VC;  2; 0.0133;  732;55145;Simbad;035.224548;-52.963785
 10946;02 20 59.88;+55 24 28.7; 7.29; 1.133;K0        ;fa       ;  -6.156; 0.0081; 0.0021;VC;  2; 0.0057;  319;55292;Simbad;035.249542;+55.407970
 10977;02 21 23.62;-30 56 02.1; 8.82; 0.918;K2/K3V    ;nor      ;  52.218; 0.0113; 0.0097;VC;  4; 0.0057; 4385;53845;Simbad;035.349977;-30.933643
 11282;02 25 18.86;+27 41 01.9; 7.76; 1.110;K2II...   ;fa       ;   2.966; 0.0081; 0.0368;VC;  2; 0.0260;  728;54767;Simbad;036.328621;+27.683821
 11329;02 25 47.04;+20 16 49.0; 7.85; 0.790;G5        ;nor      ;   8.015; 0.0048; 0.0190;VC;  9; 0.0063; 1506;54279;Simbad;036.446310;+20.280118
 11514;02 28 28.81;-45 01 22.6; 8.66; 0.670;G3V       ;nor      ;  18.998; 0.0064; 0.0190;VC;  7; 0.0072; 1522;54857;Simbad;037.120278;-45.022942
 11873;02 33 09.77;+42 53 46.8; 7.15; 0.719;G0        ;nor      ; -31.543; 0.0139; 0.0374;VC; 23; 0.0078; 4311;52123;Simbad;038.290284;+42.896181
 11881;02 33 15.43;-14 21 46.2; 7.83; 0.760;G8V       ;nor      ;  11.116; 0.0094; 0.0183;VC;  5; 0.0082; 1107;54991;Simbad;038.314173;-14.362749
 11909;02 33 43.58;-72 20 56.7; 6.84; 0.568;F8V       ;nor      ;   5.759; 0.0107; 0.0130;VC;  3; 0.0075;  326;55994;Simbad;038.432588;-72.349124
 11913;02 33 44.40;-54 56 00.7; 9.12; 0.617;G2V       ;nor      ;   7.105; 0.0153; 0.0182;VC;  3; 0.0105; 1107;55392;Simbad;038.435650;-54.933343
 11933;02 33 59.45;+31 24 23.0; 7.72; 0.987;K0II      ;fa       ;  -9.888; 0.0081; 0.0700;VC;  2; 0.0495;  727;54767;Simbad;038.497677;+31.406381
 11949;02 34 10.34;+42 47 08.6; 7.59; 0.677;G0        ;nor      ;  16.846; 0.0068; 0.0274;VC; 17; 0.0066; 3976;52214;Simbad;038.544422;+42.785257
 11954;02 34 11.56;-33 07 02.0; 7.57; 0.534;F7V       ;nor      ;   1.523; 0.0179; 0.0226;VC;  2; 0.0160;  731;55145;Simbad;038.548950;-33.117434
 12048;02 35 20.02;-03 33 34.3; 6.83; 0.670;G5IV      ;ni,nor   ; -50.900; 0.0078; 0.0162;VC;  5; 0.0073; 4392;54030;Simbad;038.833035;-03.560602
 12102;02 35 56.74;-17 37 57.6; 6.93; 0.674;G3V       ;nor      ;   3.521; 0.0101; 0.0041;VC;  3; 0.0058; 1107;55392;Simbad;038.986340;-17.632697
 12167;02 36 47.79;-25 01 24.9; 7.70; 0.598;G2V       ;nor      ;   2.590; 0.0147; 0.0057;VC;  2; 0.0104;  731;55145;Simbad;039.198920;-25.023768
 12306;02 38 28.19;+30 49 03.2; 7.36; 0.583;G0V       ;ni,nor   ; -99.620; 0.0092; 0.0064;VC;  3; 0.0053; 2534;54730;Simbad;039.616093;+30.816626
 12410;02 39 47.56;+85 03 34.2; 8.57; 0.646;G5        ;nor      ; -44.009; 0.0083; 0.0049;VC;  2; 0.0059;  382;54942;Simbad;039.950009;+85.059326
 12517;02 41 06.27;-51 26 28.3; 8.55; 0.637;G3V       ;nor      ;   6.644; 0.0089; 0.0076;VC;  4; 0.0044; 4381;54041;Simbad;040.277357;-51.440902
 12830;02 44 57.14;+23 22 04.0; 9.11; 0.641;F6III     ;nor      ;  -4.856; 0.0135; 0.0085;VC;  2; 0.0096;  379;54939;Simbad;041.238123;+23.367689
 12926;02 46 15.05;+25 39 00.9; 7.89; 0.840;K1IV      ;ni       ;  14.243; 0.0081; 0.0488;VC;  2; 0.0345; 1389;54757;Simbad;041.563363;+25.649899
 12929;02 46 17.12;+11 46 32.7; 8.59; 1.269;K5        ;ni       ;  11.178; 0.0170; 0.0224;VC;  4; 0.0112; 1594;50525;Simbad;041.571990;+11.775240
 13258;02 50 36.69;+15 42 39.2; 8.87; 1.194;K5        ;ni       ; -28.791; 0.0175; 0.0361;VC;  7; 0.0137; 3294;50952;Simbad;042.653718;+15.709914
 13267;02 50 41.44;-44 04 50.3; 8.16; 0.568;F8V       ;nor      ;  31.833; 0.0053; 0.0026;VC; 20; 0.0012;  731;54874;Simbad;042.672587;-44.081303
 13291;02 51 04.20;+30 17 12.6; 7.56; 0.584;G0V       ;nor      ;  10.568; 0.0043; 0.0205;VC; 56; 0.0027; 4833;54494;Simbad;042.767853;+30.286740
 13315;02 51 21.81;-55 04 29.2; 8.33; 0.660;G3Vw      ;nor      ;  74.428; 0.0145; 0.0212;VC;  2; 0.0150;  731;55145;Simbad;042.840942;-55.074724
 13388;02 52 19.39;-33 27 02.4; 8.09; 0.827;K1V       ;nor      ;  65.606; 0.0086; 0.0050;VC;  4; 0.0043; 3703;53496;Simbad;043.082036;-33.450636
 13393;02 52 22.48;+42 01 15.5; 6.84; 1.147;K0        ;fa       ;  -6.720; 0.0092; 0.4186;VC;  2; 0.2960;  387;54938;Simbad;043.093660;+42.020962
 13594;02 55 09.18;-07 59 45.2; 8.33; 0.735;G5        ;nor      ;  15.092; 0.0082; 0.0075;VC;  6; 0.0034; 4444;54328;Simbad;043.788742;-07.995931
 13601;02 55 17.28;+16 18 33.5; 7.41; 0.749;G5        ;ni,nor   ;  -1.281; 0.0163; 0.0423;VC; 12; 0.0122; 2171;51518;Simbad;043.822524;+16.309189
 13771;02 57 13.54;+58 21 40.5; 8.81; 0.670;G5        ;nor      ;   4.997; 0.0088; 0.0240;VC;  5; 0.0107;  671;54654;Simbad;044.307105;+58.360501
 13848;02 58 15.92;-28 22 07.4; 9.22; 0.794;K1III+... ;nor      ;  26.459; 0.0134; 0.0166;VC;  3; 0.0096; 1107;55392;Simbad;044.567185;-28.368657
 13902;02 58 59.03;-43 44 52.5; 7.39; 0.590;F8/G0V    ;nor      ;  29.139; 0.0089; 0.0064;VC;  4; 0.0044; 3319;52886;Simbad;044.746123;-43.748328
 13934;02 59 31.98;+80 15 03.1; 8.81; 0.712;G5        ;nor      ;   6.584; 0.0084; 0.0154;VC; 15; 0.0040; 1011;54251;Simbad;044.885509;+80.250622
 14023;03 00 35.69;+05 59 11.2; 8.11; 0.838;K0V       ;nor      ;  71.401; 0.0064; 0.0249;VC; 10; 0.0079; 1857;54014;Simbad;045.150406;+05.986063
 14150;03 02 25.87;+26 36 34.7; 6.62; 0.696;G8V       ;ni,nor   ;   9.933; 0.0047; 0.0113;VC; 43; 0.0017; 4883;53149;Simbad;045.608446;+26.609240
 14181;03 02 52.21;+47 06 38.5; 6.72; 0.596;F8        ;nor      ;  96.732; 0.0081; 0.0092;VC;  2; 0.0065;  320;55292;Simbad;045.717798;+47.110551
 14241;03 03 38.76;-05 39 56.4; 8.08; 0.677;G5        ;ni,nor   ; -20.264; 0.0082; 0.0132;VC;  6; 0.0054; 4378;54212;Simbad;045.912329;-05.666300
 14258;03 03 50.68;+06 07 59.4; 6.92; 0.552;F8        ;nor      ;  24.878; 0.0168; 0.0347;VC; 23; 0.0072; 5064;51686;Simbad;045.961728;+06.133298
 14300;03 04 25.12;+50 01 55.3; 7.99; 0.703;G5        ;nor      ; -50.837; 0.0087; 0.0092;VC;  6; 0.0038; 1537;55042;Simbad;046.103875;+50.032372
 14339;03 04 54.95;-57 09 58.4; 7.89; 0.649;G2V       ;nor      ;  23.749; 0.0147; 0.0072;VC;  3; 0.0085; 1105;55393;Simbad;046.228797;-57.166276
 14501;03 07 18.58;-13 45 40.1; 6.97; 0.645;G3V       ;ni,nor   ;   7.008; 0.0074; 0.0202;VC;  5; 0.0090; 3398;53809;Simbad;046.827396;-13.761783
 14561;03 08 00.52;-39 18 17.2; 8.43; 0.603;F8/G0V    ;nor      ; -14.012; 0.0152; 0.0179;VC;  3; 0.0103; 1105;55393;Simbad;047.002177;-39.305240
 14563;03 08 01.20;-12 02 29.2; 8.11; 0.722;G3V       ;nor      ;  57.562; 0.0097; 0.0678;VC;  4; 0.0339;  761;55043;Simbad;047.005329;-12.041322
 14596;03 08 26.44;-37 51 09.1; 8.25; 0.657;G2V       ;nor      ;  50.511; 0.0122; 0.0354;VC;  2; 0.0250;  729;55146;Simbad;047.110081;-37.852238
 14614;03 08 44.26;+15 20 07.1; 7.85; 0.642;G8V       ;nor      ; -27.180; 0.0063; 0.0209;VC; 13; 0.0058; 4689;54352;Simbad;047.184607;+15.334827
 14623;03 08 52.30;-24 53 16.7; 7.29; 0.678;G3/G5V    ;nor      ;  41.287; 0.0079; 0.0028;VC;  4; 0.0039; 3306;53687;Simbad;047.218522;-24.887648
 14721;03 10 09.81;+18 20 44.6; 8.69; 0.682;G5        ;nor      ; -27.348; 0.0059; 0.0232;VC;  8; 0.0082; 1086;54416;Simbad;047.541273;+18.345566
 14857;03 11 52.52;-39 01 23.3; 7.05; 0.561;F7V       ;nor      ;  -5.386; 0.0110; 0.0134;VC;  2; 0.0095;  730;55147;Simbad;047.969079;-39.023216
 14922;03 12 30.28;+43 51 38.3; 7.56; 0.604;G0        ;nor      ;  12.034; 0.0135; 0.0161;VC;  9; 0.0054; 4403;51658;Simbad;048.126742;+43.860573
 14964;03 12 54.46;-47 09 18.7; 7.27; 0.584;G0V       ;nor      ;  15.792; 0.0083; 0.0078;VC;  4; 0.0041; 4027;53973;Simbad;048.226579;-47.155232
 15099;03 14 46.99;+08 58 54.4; 7.83; 0.861;K0        ;ni,nor   ; -16.760; 0.0304; 0.1186;VC;  3; 0.0685; 1824;52632;Simbad;048.696780;+08.980792
 15131;03 15 06.50;-45 39 54.6; 6.75; 0.586;G3V       ;nor      ;   4.409; 0.0078; 0.0104;VC;  4; 0.0052; 4421;53818;Simbad;048.776624;-45.664823
 15199;03 15 53.36;-14 47 55.8; 7.85; 0.614;G2V       ;nor      ;  41.103; 0.0082; 0.0109;VC;  6; 0.0044; 4358;54206;Simbad;048.972534;-14.799115
 15323;03 17 40.12;+31 07 37.9; 6.40; 0.574;G0        ;nor      ;   6.482; 0.0152; 0.0225;VC; 39; 0.0036; 4360;52310;Simbad;049.416859;+31.127048
 15442;03 19 01.75;-02 50 34.6; 7.05; 0.655;G0        ;ni,nor   ;  22.779; 0.0084; 0.0220;VC;  6; 0.0090; 3382;53584;Simbad;049.757888;-02.843195
 15579;03 20 42.82;-23 18 23.4; 8.73; 0.711;G5V       ;nor      ;  65.058; 0.0140; 0.0212;VC;  2; 0.0150;  730;55146;Simbad;050.178687;-23.306196
 15642;03 21 23.74;-52 51 19.6; 8.43; 0.730;G6IV      ;nor      ;  22.848; 0.0088; 0.0296;VC;  4; 0.0148; 3272;54202;Simbad;050.349426;-52.855127
 15940;03 25 15.13;-15 02 18.8; 7.98; 0.667;G3V       ;nor      ;  50.193; 0.0099; 0.0289;VC;  4; 0.0144;  761;55043;Simbad;051.312680;-15.039234
 15943;03 25 18.26;+58 41 40.2; 6.85; 1.068;K1III     ;fa       ; -32.464; 0.0082; 0.0516;VC;  2; 0.0365;  730;54768;Simbad;051.325888;+58.694537
 16085;03 27 12.21;-58 19 26.1; 7.95; 0.761;G8V       ;nor      ;  39.743; 0.0082; 0.0168;VC;  4; 0.0084; 3750;53381;Simbad;051.802010;-58.323683
 16107;03 27 29.39;+34 48 24.5; 8.18; 0.623;G0        ;ni,nor   ; -19.972; 0.0100; 0.0183;VC;  2; 0.0129; 4005;53450;Simbad;051.872456;+34.806623
 16115;03 27 37.03;-73 26 23.5; 8.32; 0.679;G3V       ;nor      ;   9.747; 0.0161; 0.0129;VC;  3; 0.0093; 1106;55393;Simbad;051.904919;-73.439565
 16169;03 28 20.87;-06 31 49.6; 8.23; 0.619;G2V-VI    ;nor      ;  63.878; 0.0083; 0.0084;VC;  6; 0.0034; 3790;54538;Simbad;052.087853;-06.530923
 16353;03 30 41.96;-40 07 06.9; 8.49; 0.556;G0/G1V    ;nor      ;  -4.130; 0.0169; 0.0051;VC;  3; 0.0097; 1106;55393;Simbad;052.674700;-40.118897
 16405;03 31 15.49;+20 46 06.8; 8.08; 0.680;G5        ;nor      ;  -3.051; 0.0097; 0.0284;VC;  6; 0.0116; 1799;54179;Simbad;052.814264;+20.768072
 16460;03 32 01.69;-52 28 25.4; 7.78; 0.717;G3/G5V    ;nor      ;  52.670; 0.0139; 0.0149;VC;  3; 0.0086; 1106;55393;Simbad;053.007703;-52.473857
 16494;03 32 23.88;-08 36 11.3; 8.05; 0.585;F8        ;nor      ; -15.972; 0.0100; 0.0156;VC;  4; 0.0078;  761;55042;Simbad;053.099442;-08.603724
 16517;03 32 39.82;+35 39 34.0; 7.29; 0.503;F8        ;ni,nor   ;  30.031; 0.0111; 0.0255;VC;  2; 0.0180; 1172;54988;Simbad;053.166324;+35.659294
 16641;03 34 08.32;+17 50 00.9; 6.14; 0.891;K1IVe...  ;fa,ni    ;  11.138; 0.0099; 0.0502;VC;  4; 0.0251;  392;54564;Simbad;053.534912;+17.832828
 16799;03 36 12.95;-18 33 00.3; 7.86; 0.656;G3V       ;nor      ; -16.050; 0.0164; 0.0057;VC;  2; 0.0116;  730;55146;Simbad;054.054028;-18.550257
 16984;03 38 26.30;-46 14 36.0; 8.02; 0.529;F7V       ;nor      ;  33.919; 0.0234; 0.0269;VC;  2; 0.0190;  730;55146;Simbad;054.609656;-46.243519
 17096;03 39 43.28;-52 54 56.2; 7.12; 0.583;F8/G0V    ;nor      ;   0.659; 0.0079; 0.0561;VC;  4; 0.0281; 4358;53941;Simbad;054.929563;-52.915838
 17124;03 40 02.95;-34 32 58.1; 7.84; 0.555;F8V       ;nor      ;  -3.623; 0.0129; 0.0453;VC;  2; 0.0320;  327;56048;Simbad;055.012298;-34.549757
 17147;03 40 21.66;-03 12 59.3; 6.68; 0.554;F9V       ;ni,nor   ; 120.400; 0.0066; 0.0121;VC; 31; 0.0022; 6237;54495;Simbad;055.091936;-03.216981
 17338;03 42 39.80;-20 32 43.8; 9.16; 0.783;G8V       ;nor      ;  17.401; 0.0077; 0.1432;VC;  4; 0.0716;  732;55010;Simbad;055.665850;-20.545454
 17420;03 43 55.15;-19 06 40.6; 7.10; 0.927;K2V       ;ni       ;  25.379; 0.0078; 0.0107;VC;  4; 0.0054; 4494;53886;Simbad;055.980595;-19.110899
 17439;03 44 09.02;-38 16 56.9; 6.99; 0.870;K1V       ;nor      ;  29.661; 0.0078; 0.0203;VC;  4; 0.0102; 4404;54038;Simbad;056.038221;-38.281772
 17472;03 44 39.46;+10 10 42.6; 8.62; 0.660;G5        ;nor      ;   6.234; 0.0074; 0.0190;VC;  9; 0.0063; 2481;54963;Simbad;056.164830;+10.177943
 17790;03 48 29.92;+57 46 03.4; 8.50; 0.648;G5V       ;nor      ;  16.093; 0.0082; 0.0276;VC;  2; 0.0195;  382;54942;Simbad;057.125016;+57.767627
 17801;03 48 37.91;-04 25 16.5; 7.64; 0.773;G0        ;nor      ;  32.522; 0.0115; 0.0127;VC;  4; 0.0063; 3944;54247;Simbad;057.158078;-04.421297
 17819;03 48 46.77;-40 23 57.7; 7.24; 0.560;F8V       ;nor      ;  38.941; 0.0108; 0.0085;VC;  2; 0.0076;  732;55145;Simbad;057.195144;-40.399226
 17936;03 50 08.85;+06 37 14.8; 7.72; 0.684;G0        ;nor      ;   4.435; 0.0148; 0.0426;VC; 14; 0.0114; 4060;53624;Simbad;057.537031;+06.620688
 17960;03 50 22.90;+17 28 37.1; 7.50; 0.653;G0        ;ni,nor   ;  -9.308; 0.0053; 0.0435;VC; 75; 0.0050; 5141;53499;Simbad;057.595701;+17.476366
 17978;03 50 35.33;-42 34 01.4; 8.61; 0.913;K2V       ;IAU_std  ;  24.130; 0.0104; 0.0085;VC;  4; 0.0052; 3727;53768;Simbad;057.647865;-42.565535
 18075;03 51 50.47;-28 50 14.4; 8.38; 0.584;F8V       ;nor      ; -20.296; 0.0150; 0.0071;VC;  3; 0.0087; 1107;55392;Simbad;057.960139;-28.837483
 18163;03 52 59.28;+26 40 43.8; 8.00; 0.644;G0IV      ;nor      ;  22.597; 0.0087; 0.0154;VC;  8; 0.0054; 2563;55293;Simbad;058.247304;+26.678540
 18208;03 53 37.68;+28 08 53.3; 7.89; 0.840;G8V       ;ni,nor   ;  19.341; 0.0083; 0.0354;VC;  2; 0.0250; 1511;54818;Simbad;058.407270;+28.148113
 18235;03 53 59.25;-23 08 10.9; 6.68; 0.820;G8IV/V    ;nor      ; 100.735; 0.0084; 0.0057;VC;  2; 0.0059;  733;55145;Simbad;058.497768;-23.137073
 18261;03 54 22.62;+01 15 42.9; 7.97; 0.631;G0        ;nor      ;  16.083; 0.0051; 0.0200;VC;  5; 0.0089; 4057;53667;Simbad;058.594308;+01.261620
 18280;03 54 35.47;-06 49 38.3; 9.02; 1.366;M0V       ;ni       ;  62.317; 0.0145; 0.0279;VC;  6; 0.0114; 4323;54609;Simbad;058.647778;-06.826009
 18309;03 54 51.09;+52 25 12.8; 7.87; 0.683;G1V       ;ni,nor   ; 142.857; 0.0083; 0.0354;VC;  2; 0.0250; 1389;54757;Simbad;058.713296;+52.419865
 18324;03 55 03.31;+61 10 02.7; 7.84; 0.831;K0V       ;ni       ;  38.811; 0.0306; 0.1046;VC;  3; 0.0604; 1823;52634;Simbad;058.766010;+61.166808
 18427;03 56 25.07;-52 55 53.2; 9.27; 0.843;K1V       ;nor      ;  47.449; 0.0135; 0.0193;VC;  3; 0.0111; 1107;55392;Simbad;059.105416;-52.930866
